epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5029,1.02458,2.8575,1.40222,0.4412,0.381,0.37536,0.26804,1.09543,2.67307,1.44304,0.0003636,0.0003636,0.0003636
2,118.157,1.12983,2.25912,1.45698,0.29434,0.43421,0.30705,0.19177,1.30402,2.41126,1.73523,0.000726667,0.000726667,0.000726667
3,176.979,1.18599,2.234,1.52275,0.19341,0.30696,0.15673,0.07601,1.76559,3.05568,2.23321,0.0010824,0.0010824,0.0010824
4,235.938,1.18046,2.11591,1.50181,0.38344,0.38567,0.35433,0.22826,1.43671,2.47351,1.85336,0.001078,0.001078,0.001078
5,294.31,1.186,2.0144,1.50943,0.24474,0.35498,0.20104,0.129,1.42469,3.01432,1.84744,0.001067,0.001067,0.001067
6,352.812,1.15139,1.92381,1.49115,0.36984,0.45881,0.41153,0.2842,1.28651,2.22013,1.75273,0.00105601,0.00105601,0.00105601
7,411.43,1.12058,1.81146,1.45479,0.35866,0.45784,0.36803,0.2365,1.38026,2.18283,1.73541,0.00104501,0.00104501,0.00104501
8,470.594,1.124,1.77781,1.46912,0.50174,0.49963,0.4953,0.32645,1.26025,2.0096,1.68306,0.00103401,0.00103401,0.00103401
9,528.514,1.07297,1.7275,1.4641,0.43105,0.40125,0.34918,0.22661,1.34784,2.149,1.79653,0.00102301,0.00102301,0.00102301
10,586.225,1.08594,1.63741,1.41909,0.53629,0.40403,0.42983,0.29486,1.24957,2.01607,1.64822,0.00101201,0.00101201,0.00101201
11,643.908,1.08568,1.61357,1.43244,0.50761,0.44984,0.47334,0.34411,1.21157,1.84207,1.67884,0.00100101,0.00100101,0.00100101
12,701.655,1.07766,1.52484,1.41573,0.56439,0.35927,0.41719,0.29755,1.24464,1.91432,1.62919,0.000990012,0.000990012,0.000990012
13,759.36,1.04883,1.46796,1.40733,0.60652,0.47392,0.50316,0.34634,1.3424,1.81235,1.76756,0.000979013,0.000979013,0.000979013
14,817.105,1.01019,1.43813,1.39121,0.58994,0.42468,0.50833,0.3758,1.22588,1.68876,1.65697,0.000968014,0.000968014,0.000968014
15,875.178,1.02627,1.41625,1.38854,0.44576,0.58388,0.4629,0.33306,1.28885,1.97696,1.64786,0.000957015,0.000957015,0.000957015
16,932.951,1.00356,1.36543,1.36521,0.60805,0.39853,0.45154,0.3289,1.19261,1.88171,1.57534,0.000946016,0.000946016,0.000946016
17,990.673,0.98568,1.29769,1.36768,0.57406,0.54273,0.49402,0.36095,1.24704,1.76002,1.68947,0.000935018,0.000935018,0.000935018
18,1048.5,0.98098,1.24572,1.35341,0.59799,0.56745,0.52826,0.3931,1.15799,1.68964,1.6151,0.000924019,0.000924019,0.000924019
19,1106.26,0.99217,1.23872,1.35644,0.50652,0.60999,0.55361,0.41148,1.17718,1.58255,1.5795,0.00091302,0.00091302,0.00091302
20,1163.92,0.95418,1.22998,1.32338,0.59538,0.57616,0.57316,0.37302,1.29288,1.77431,1.73684,0.000902021,0.000902021,0.000902021
21,1221.78,0.9417,1.1886,1.33181,0.51383,0.5469,0.51294,0.34939,1.27617,1.64738,1.68933,0.000891022,0.000891022,0.000891022
22,1280.11,0.95307,1.15392,1.33111,0.50485,0.55437,0.55112,0.39445,1.19858,1.79122,1.60623,0.000880023,0.000880023,0.000880023
23,1338.72,0.91323,1.1501,1.30233,0.54087,0.56026,0.526,0.3825,1.17072,1.70364,1.59266,0.000869024,0.000869024,0.000869024
24,1398.15,0.95775,1.14605,1.33937,0.45533,0.46745,0.47313,0.33283,1.24213,1.86328,1.6274,0.000858025,0.000858025,0.000858025
25,1457.51,0.92703,1.07579,1.30724,0.57844,0.51641,0.51761,0.34466,1.24408,1.67392,1.70699,0.000847026,0.000847026,0.000847026
26,1516.28,0.8816,1.06543,1.27905,0.64905,0.50208,0.54425,0.40728,1.123,1.55836,1.5359,0.000836027,0.000836027,0.000836027
27,1575.4,0.88716,1.04001,1.29382,0.75033,0.47805,0.57066,0.42404,1.16099,1.60125,1.55758,0.000825029,0.000825029,0.000825029
28,1635.33,0.87731,1.03334,1.27439,0.6304,0.51831,0.5412,0.39529,1.13551,1.55285,1.56694,0.00081403,0.00081403,0.00081403
29,1693.9,0.8772,1.01722,1.27522,0.5958,0.53602,0.55906,0.40005,1.20519,1.63864,1.6044,0.000803031,0.000803031,0.000803031
30,1752.6,0.88446,1.03401,1.27914,0.5158,0.54649,0.4988,0.35994,1.21759,1.64091,1.63686,0.000792032,0.000792032,0.000792032
