epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1558.24,0.76571,0.78793,1.13093,0.52955,0.49994,0.51615,0.37168,1.28199,1.85634,1.62554,0.000660045,0.000660045,0.000660045
43,1595.72,0.76897,0.79517,1.14105,0.5905,0.46518,0.48763,0.36307,1.29094,1.77972,1.64466,0.000649046,0.000649046,0.000649046
44,1633.58,0.75648,0.78044,1.14406,0.70205,0.4572,0.51437,0.35579,1.29883,1.77472,1.69869,0.000638047,0.000638047,0.000638047
45,1670.77,0.7566,0.74819,1.13632,0.62263,0.49316,0.51766,0.37406,1.24865,1.89915,1.62072,0.000627048,0.000627048,0.000627048
46,1708.07,0.73869,0.74263,1.12097,0.75266,0.47988,0.54749,0.39587,1.25173,1.6551,1.60366,0.000616049,0.000616049,0.000616049
47,1745.31,0.7332,0.74925,1.12226,0.74852,0.43707,0.55166,0.39331,1.2849,1.61178,1.6434,0.000605051,0.000605051,0.000605051
48,1783.42,0.72404,0.72521,1.12526,0.66505,0.51099,0.5556,0.40147,1.2609,1.72854,1.64803,0.000594052,0.000594052,0.000594052
49,1820.85,0.70546,0.71196,1.09499,0.67116,0.50248,0.55925,0.40301,1.26077,1.73145,1.63873,0.000583053,0.000583053,0.000583053
50,1857.94,0.74381,0.74024,1.12081,0.63428,0.50496,0.53782,0.39556,1.25448,1.7332,1.63632,0.000572054,0.000572054,0.000572054
51,1895.25,0.7013,0.69868,1.10774,0.64025,0.51257,0.57046,0.424,1.25732,1.73783,1.59809,0.000561055,0.000561055,0.000561055
52,1933.1,0.70468,0.7047,1.0968,0.66248,0.48337,0.54564,0.40891,1.20992,1.69391,1.58006,0.000550056,0.000550056,0.000550056
53,1970.29,0.71575,0.72292,1.12444,0.57787,0.53768,0.53122,0.36618,1.2722,1.73432,1.66309,0.000539057,0.000539057,0.000539057
54,2007.39,0.71357,0.71229,1.10842,0.54337,0.51472,0.52792,0.38527,1.2085,1.66584,1.60131,0.000528058,0.000528058,0.000528058
55,2044.91,0.69659,0.68691,1.09543,0.65664,0.48458,0.53243,0.36978,1.27043,1.84557,1.64528,0.000517059,0.000517059,0.000517059
56,2082.44,0.67116,0.65733,1.08036,0.73408,0.50161,0.58385,0.43071,1.22862,1.66913,1.62379,0.00050606,0.00050606,0.00050606
57,2120.04,0.66388,0.64982,1.08534,0.66957,0.5079,0.55231,0.39524,1.22027,1.60205,1.60094,0.000495062,0.000495062,0.000495062
58,2157.14,0.64742,0.62785,1.07095,0.65528,0.51401,0.55886,0.40217,1.23661,1.84206,1.63411,0.000484063,0.000484063,0.000484063
59,2194.3,0.66115,0.63862,1.08034,0.61292,0.52773,0.53847,0.38761,1.24837,1.80137,1.6371,0.000473064,0.000473064,0.000473064
60,2231.3,0.6585,0.61491,1.0774,0.53399,0.53962,0.50968,0.38063,1.24483,1.86766,1.64813,0.000462065,0.000462065,0.000462065
61,2268.36,0.64993,0.62654,1.07703,0.69016,0.48029,0.54075,0.396,1.19211,1.79795,1.59956,0.000451066,0.000451066,0.000451066
62,2305.55,0.66387,0.62998,1.08001,0.68375,0.50323,0.56912,0.41229,1.22982,1.61249,1.62467,0.000440067,0.000440067,0.000440067
63,2342.33,0.64928,0.61807,1.06816,0.69927,0.49067,0.54836,0.40893,1.24724,1.65013,1.63013,0.000429068,0.000429068,0.000429068
64,2379.99,0.642,0.60088,1.05958,0.66302,0.50192,0.5471,0.40339,1.21129,1.73308,1.59701,0.000418069,0.000418069,0.000418069
65,2417.32,0.63372,0.60655,1.0593,0.55789,0.56973,0.55874,0.41131,1.27972,1.69869,1.66573,0.00040707,0.00040707,0.00040707
66,2455.55,0.61133,0.58197,1.04889,0.67467,0.50183,0.54528,0.39266,1.31104,1.75155,1.71808,0.000396071,0.000396071,0.000396071
67,2492.92,0.62127,0.60178,1.05422,0.6846,0.4922,0.56369,0.39876,1.2601,1.66548,1.67671,0.000385073,0.000385073,0.000385073
68,2530.13,0.62671,0.58894,1.06551,0.62317,0.47677,0.55487,0.40136,1.22723,1.79072,1.64531,0.000374074,0.000374074,0.000374074
69,2567.34,0.60967,0.5864,1.05934,0.57787,0.5231,0.54615,0.41035,1.19796,1.77891,1.57862,0.000363075,0.000363075,0.000363075
70,2604.41,0.60982,0.57248,1.05428,0.64908,0.53087,0.55075,0.40171,1.19739,1.7379,1.59085,0.000352076,0.000352076,0.000352076
71,2641.47,0.59298,0.55392,1.0396,0.54697,0.6452,0.59429,0.43585,1.22665,1.55293,1.60853,0.000341077,0.000341077,0.000341077
72,2678.67,0.58686,0.54417,1.03922,0.57342,0.60531,0.56927,0.43062,1.22257,1.68653,1.62632,0.000330078,0.000330078,0.000330078
